TransactionID,CustomerID,CustomerName,CustomerDOB,CustAccountBalance,LoanAmount,CustomerEmail,CustLocation,TotalAmountPaid,LoanDuration,LoanRate,LoanSanctDate,LastCycleDate,IssuerBank,LoanEndDate,RemainingLoan
5400010,440674,Manikya Sathe,28-07-1985,301186,1313997,manikya.sathe@gmail.com,Andhra Pradesh,443752,15,6.6,10-02-2021,01-03-2022,HDFC,07-02-2036,870245
5400011,545650,Seher Ratta,28-02-1983,662578,3627959,seher.ratta@gmail.com,Nagaland,187039,5,7.1,13-04-2021,01-03-2022,ICICI,12-04-2026,3440920
5400012,531421,Ryan Choudhry,31-07-1996,202924,1375379,ryan.choudhry@gmail.com,Arunachal Pradesh,175752,10,7.1,16-04-2020,07-03-2022,ICICI,14-04-2030,1199627
5400013,591319,Yasmin Jani,02-01-1995,538458,1503962,yasmin.jani@gmail.com,Rajasthan,710661,10,6.8,25-10-2020,15-03-2022,PNB,23-10-2030,793301
5400014,591687,Gatik Chander,25-04-1996,715284,1905043,gatik.chander@gmail.com,Karnataka,333381,15,5.8,15-07-2019,07-03-2022,ICICI,11-07-2034,1571662
5400015,545538,Zara Butala,24-07-1991,327533,2694977,zara.butala@gmail.com,Tripura,420176,20,6.5,04-01-2020,01-03-2022,SBI,30-12-2039,2274801
5400016,431805,Kanav Sarraf,26-02-1984,274385,4135559,kanav.sarraf@gmail.com,Odisha,448227,5,6.6,24-12-2018,21-03-2022,CANARA,23-12-2023,3687332
5400017,452616,Ayesha Sampath,23-07-1993,923661,3029385,ayesha.sampath@gmail.com,Uttarakhand,745073,15,6.6,30-12-2019,07-03-2022,HDFC,26-12-2034,2284312
5400018,589736,Hunar Aurora,27-07-1992,145016,3944582,hunar.aurora@gmail.com,Andhra Pradesh,175178,5,5.9,14-02-2021,21-03-2022,AXIS,13-02-2026,3769404
5400019,415715,Adira Rau,11-04-1984,446533,3065242,adira.rau@gmail.com,Uttar Pradesh,778919,10,6,13-07-2018,01-03-2022,AXIS,10-07-2028,2286323
5400020,419010,Vritika Dora,14-06-1982,968327,2606779,vritika.dora@gmail.com,Andhra Pradesh,586916,5,7.7,24-07-2020,01-03-2022,IDBI,23-07-2025,2019863
5400021,526834,Hrishita Savant,19-09-1982,377424,2419386,hrishita.savant@gmail.com,West Bengal,468019,5,6.7,29-08-2019,01-03-2022,ICICI,27-08-2024,1951367
5400022,481794,Jivika Raman,24-07-1988,958684,1027599,jivika.raman@gmail.com,Bihar,819506,5,7.4,04-02-2020,07-03-2022,ICICI,02-02-2025,208093
5400023,573293,Arhaan Atwal,21-03-1989,681546,3715724,arhaan.atwal@gmail.com,Punjab,193343,5,6.5,07-04-2019,21-03-2022,SBI,05-04-2024,3522381
5400024,525281,Amani Basu,18-06-1983,722660,2943500,amani.basu@gmail.com,Uttar Pradesh,485206,15,5.9,08-11-2018,15-03-2022,ICICI,04-11-2033,2458294
5400025,458002,Charvi Handa,11-11-1991,992069,4031418,charvi.handa@gmail.com,Uttar Pradesh,302575,10,7,02-12-2019,15-03-2022,ICICI,29-11-2029,3728843
5400026,445352,Ehsaan Shere,07-03-1997,398329,4909514,ehsaan.shere@gmail.com,Meghalaya,647626,10,5.8,04-06-2020,01-03-2022,CANARA,02-06-2030,4261888
5400027,432505,Siya Sridhar,04-09-1985,456801,1917137,siya.sridhar@gmail.com,Meghalaya,363981,15,6.7,15-11-2018,21-03-2022,IDBI,11-11-2033,1553156
5400028,573255,Vaibhav Korpal,14-07-1996,633805,3337323,vaibhav.korpal@gmail.com,West Bengal,497244,15,6.6,26-11-2019,07-03-2022,ICICI,22-11-2034,2840079
5400029,482262,Nayantara Deol,03-04-1991,597893,4251128,nayantara.deol@gmail.com,Kerala,445011,20,6.6,29-04-2020,01-03-2022,AXIS,24-04-2040,3806117
5400030,563860,Piya Varma,26-05-1993,156760,4589599,piya.varma@gmail.com,Haryana,305221,5,5.8,11-04-2020,21-03-2022,CANARA,10-04-2025,4284378
5400031,565599,Taran Salvi,20-03-1990,331245,2936100,taran.salvi@gmail.com,Meghalaya,442430,5,7.1,27-05-2019,07-03-2022,CITI,25-05-2024,2493670
5400032,502297,Seher Balay,19-01-1987,989162,2934849,seher.balay@gmail.com,Karnataka,622041,10,7.9,08-11-2020,15-03-2022,CANARA,06-11-2030,2312808
5400033,475303,Sara Madan,29-10-1992,597102,4027489,sara.madan@gmail.com,Uttar Pradesh,643621,5,6.6,25-12-2018,07-03-2022,SBI,24-12-2023,3383868
5400034,565013,Indrajit Handa,29-03-1984,578033,3403740,indrajit.handa@gmail.com,Mizoram,278318,5,6.3,03-04-2019,07-03-2022,SBI,01-04-2024,3125422
5400035,412045,Saira Walla,25-09-1993,754537,4120030,saira.walla@gmail.com,Haryana,653792,10,6.2,22-07-2019,21-03-2022,PNB,19-07-2029,3466238
5400036,582569,Ishita Chokshi,27-06-1983,481885,1447184,ishita.chokshi@gmail.com,Tamil Nadu,455990,10,6.5,15-09-2019,15-03-2022,HDFC,12-09-2029,991194
5400037,500188,Shayak Sem,17-03-1983,489640,1978807,shayak.sem@gmail.com,Andhra Pradesh,740143,15,5.9,30-10-2020,15-03-2022,IDBI,27-10-2035,1238664
5400038,545483,Aarav Kale,01-02-1990,426435,4566708,aarav.kale@gmail.com,Uttarakhand,613652,10,6.1,19-04-2019,01-03-2022,SBI,16-04-2029,3953056
5400039,402043,Rasha Garg,14-04-1987,355297,2929845,rasha.garg@gmail.com,Odisha,728333,20,7.6,06-03-2020,21-03-2022,IDBI,01-03-2040,2201512
5400040,485797,Hunar Bahri,26-10-1996,246400,2730959,hunar.bahri@gmail.com,Odisha,293479,20,6.3,31-03-2020,07-03-2022,SBI,26-03-2040,2437480
5400041,593902,Miraya Karan,23-08-1991,135087,4268030,miraya.karan@gmail.com,Nagaland,361201,20,7.2,22-10-2018,01-03-2022,PNB,17-10-2038,3906829
5400042,512816,Samarth Lad,22-06-1995,102354,4741882,samarth.lad@gmail.com,Rajasthan,623052,10,6.6,25-08-2020,21-03-2022,IDBI,23-08-2030,4118830
5400043,477629,Khushi Chaudry,18-01-1994,780080,2888440,khushi.chaudry@gmail.com,Karnataka,279525,20,7.7,20-01-2020,15-03-2022,HDFC,15-01-2040,2608915
5400044,485108,Priyansh Chokshi,16-09-1996,190786,3828144,priyansh.chokshi@gmail.com,Odisha,260521,5,6.5,03-08-2020,07-03-2022,HDFC,02-08-2025,3567623
5400045,556249,Badal Toor,25-04-1983,672666,3439254,badal.toor@gmail.com,Manipur,791807,5,7,22-05-2018,07-03-2022,AXIS,21-05-2023,2647447
5400046,481784,Alia Master,29-04-1992,292777,3818495,alia.master@gmail.com,Uttar Pradesh,335360,10,7.5,16-03-2019,15-03-2022,HDFC,13-03-2029,3483135
5400047,417322,Kanav Sodhi,09-06-1991,928971,1853764,kanav.sodhi@gmail.com,Assam,237656,10,7.3,09-09-2018,07-03-2022,CANARA,06-09-2028,1616108
5400048,537776,Aaina Dara,04-11-1983,643599,4782131,aaina.dara@gmail.com,Bihar,569226,5,8.1,09-09-2019,07-03-2022,HDFC,07-09-2024,4212905
5400049,584421,Anvi Chatterjee,13-04-1984,148160,3690219,anvi.chatterjee@gmail.com,Nagaland,443448,20,7,04-12-2020,07-03-2022,HDFC,29-11-2040,3246771
5400050,465892,Drishya Sharma,28-10-1983,881456,4519719,drishya.sharma@gmail.com,Assam,265222,20,6.1,24-01-2021,07-03-2022,IDBI,19-01-2041,4254497
5400051,567620,Onkar Ghose,24-01-1986,232828,2042204,onkar.ghose@gmail.com,West Bengal,821841,15,8,15-10-2018,07-03-2022,SBI,11-10-2033,1220363
5400052,507882,Divit Sagar,31-12-1995,408242,1167865,divit.sagar@gmail.com,West Bengal,591616,10,7.5,17-09-2019,07-03-2022,CANARA,14-09-2029,576249
5400053,491015,Veer Bedi,23-01-1997,611453,3796697,veer.bedi@gmail.com,West Bengal,539763,15,6.4,19-01-2019,01-03-2022,CANARA,15-01-2034,3256934
5400054,410546,Oorja Dasgupta,26-10-1991,771776,2685161,oorja.dasgupta@gmail.com,Arunachal Pradesh,528974,5,7.3,08-02-2019,07-03-2022,CANARA,07-02-2024,2156187
5400055,546809,Fateh Choudhry,17-02-1989,388306,2503435,fateh.choudhry@gmail.com,Mizoram,190357,5,7.3,25-02-2020,15-03-2022,AXIS,23-02-2025,2313078
5400056,468888,Ranbir Chana,12-02-1996,261383,2169207,ranbir.chana@gmail.com,Punjab,738489,20,7.8,18-05-2019,21-03-2022,CANARA,13-05-2039,1430718
5400057,401596,Kismat Mand,07-09-1993,893266,1573085,kismat.mand@gmail.com,Uttarakhand,799205,15,8,17-05-2018,01-03-2022,HDFC,13-05-2033,773880
5400058,495555,Raghav Mannan,28-10-1996,429832,2234357,raghav.mannan@gmail.com,West Bengal,650185,10,8.1,26-09-2019,01-03-2022,PNB,23-09-2029,1584172
5400059,592878,Divit Dutt,20-07-1985,228981,2338792,divit.dutt@gmail.com,Mizoram,596052,15,6.5,04-07-2020,21-03-2022,SBI,01-07-2035,1742740
5400060,572615,Miraya Sahota,05-10-1996,433176,3413538,miraya.sahota@gmail.com,Bihar,389081,20,7.6,04-08-2020,01-03-2022,PNB,30-07-2040,3024457
5400061,466199,Darshit Dyal,28-12-1996,812474,3622039,darshit.dyal@gmail.com,Telangana,737415,20,6.9,02-06-2018,01-03-2022,ICICI,28-05-2038,2884624
5400062,444873,Anya Chandra,18-09-1995,537855,4021162,anya.chandra@gmail.com,Telangana,227897,5,6.7,22-04-2018,01-03-2022,AXIS,21-04-2023,3793265
5400063,580852,Raunak Sarkar,09-01-1988,702582,3919571,raunak.sarkar@gmail.com,Bihar,605008,5,6.9,23-10-2018,07-03-2022,AXIS,22-10-2023,3314563
5400064,449783,Samar Bose,03-12-1991,470041,4551716,samar.bose@gmail.com,West Bengal,843246,10,6.9,14-09-2020,07-03-2022,ICICI,12-09-2030,3708470
5400065,499975,Romil Reddy,22-10-1995,490283,2860143,romil.reddy@gmail.com,Karnataka,489846,5,6.8,19-03-2021,07-03-2022,HDFC,18-03-2026,2370297
5400066,542969,Misha Ratta,09-02-1984,818870,1083040,misha.ratta@gmail.com,Gujarat,417706,5,7.8,20-12-2020,07-03-2022,IDBI,19-12-2025,665334
5400067,433888,Aayush Goswami,25-06-1993,809013,1880327,aayush.goswami@gmail.com,Manipur,470734,5,7.2,06-12-2020,15-03-2022,ICICI,05-12-2025,1409593
5400068,417959,Ela Sekhon,18-09-1991,330107,4201415,ela.sekhon@gmail.com,Odisha,753183,20,8,05-03-2021,07-03-2022,ICICI,28-02-2041,3448232
5400069,452640,Saira Kade,14-10-1988,709386,4171894,saira.kade@gmail.com,Manipur,688283,10,6.1,23-07-2020,07-03-2022,CANARA,21-07-2030,3483611
